threshold,accuracy,balanced_accuracy,precision,recall,f1,combined_score,predicted_control,predicted_depression
0.05,0.21818181818181817,0.5,0.21818181818181817,1.0,0.3582089552238806,0.42910447761194026,0,55
0.060000000000000005,0.21818181818181817,0.5,0.21818181818181817,1.0,0.3582089552238806,0.42910447761194026,0,55
0.07,0.21818181818181817,0.5,0.21818181818181817,1.0,0.3582089552238806,0.42910447761194026,0,55
0.08000000000000002,0.21818181818181817,0.5,0.21818181818181817,1.0,0.3582089552238806,0.42910447761194026,0,55
0.09000000000000001,0.21818181818181817,0.5,0.21818181818181817,1.0,0.3582089552238806,0.42910447761194026,0,55
0.1,0.21818181818181817,0.5,0.21818181818181817,1.0,0.3582089552238806,0.42910447761194026,0,55
0.11000000000000001,0.21818181818181817,0.5,0.21818181818181817,1.0,0.3582089552238806,0.42910447761194026,0,55
0.12000000000000001,0.21818181818181817,0.5,0.21818181818181817,1.0,0.3582089552238806,0.42910447761194026,0,55
0.13,0.21818181818181817,0.5,0.21818181818181817,1.0,0.3582089552238806,0.42910447761194026,0,55
0.14,0.21818181818181817,0.5,0.21818181818181817,1.0,0.3582089552238806,0.42910447761194026,0,55
0.15000000000000002,0.21818181818181817,0.5,0.21818181818181817,1.0,0.3582089552238806,0.42910447761194026,0,55
0.16000000000000003,0.2545454545454545,0.5232558139534884,0.22641509433962265,1.0,0.36923076923076925,0.44624329159212883,2,53
0.17000000000000004,0.2727272727272727,0.5348837209302325,0.23076923076923078,1.0,0.375,0.45494186046511625,3,52
0.18000000000000005,0.2909090909090909,0.5465116279069767,0.23529411764705882,1.0,0.38095238095238093,0.4637320044296788,4,51
0.19,0.32727272727272727,0.5697674418604651,0.24489795918367346,1.0,0.39344262295081966,0.4816050324056424,6,49
0.2,0.3090909090909091,0.5281007751937984,0.22916666666666666,0.9166666666666666,0.36666666666666664,0.4473837209302325,7,48
0.21000000000000002,0.34545454545454546,0.5513565891472868,0.2391304347826087,0.9166666666666666,0.3793103448275862,0.4653334669874365,9,46
0.22000000000000003,0.34545454545454546,0.5513565891472868,0.2391304347826087,0.9166666666666666,0.3793103448275862,0.4653334669874365,9,46
0.23000000000000004,0.41818181818181815,0.5978682170542635,0.2619047619047619,0.9166666666666666,0.4074074074074074,0.5026378122308355,13,42
0.24000000000000005,0.4727272727272727,0.6327519379844961,0.28205128205128205,0.9166666666666666,0.43137254901960786,0.532062243502052,16,39
0.25000000000000006,0.5454545454545454,0.6792635658914729,0.3142857142857143,0.9166666666666666,0.46808510638297873,0.5736743361372258,20,35
0.26000000000000006,0.5636363636363636,0.6908914728682171,0.3235294117647059,0.9166666666666666,0.4782608695652174,0.5845761712167172,21,34
0.27,0.6,0.7141472868217054,0.34375,0.9166666666666666,0.5,0.6070736434108527,23,32
0.28,0.5818181818181818,0.6724806201550388,0.3225806451612903,0.8333333333333334,0.46511627906976744,0.5687984496124031,24,31
0.29000000000000004,0.6181818181818182,0.6957364341085271,0.3448275862068966,0.8333333333333334,0.4878048780487805,0.5917706560786538,26,29
0.30000000000000004,0.6363636363636364,0.7073643410852714,0.35714285714285715,0.8333333333333334,0.5,0.6036821705426356,27,28
0.31000000000000005,0.6181818181818182,0.6356589147286822,0.32,0.6666666666666666,0.43243243243243246,0.5340456735805573,30,25
0.32000000000000006,0.6181818181818182,0.6356589147286822,0.32,0.6666666666666666,0.43243243243243246,0.5340456735805573,30,25
0.33,0.6363636363636364,0.6472868217054264,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.5458656330749354,31,24
0.34,0.6545454545454545,0.6589147286821706,0.34782608695652173,0.6666666666666666,0.45714285714285713,0.5580287929125138,32,23
