Epoch,Learning_Rate,Train_Loss,Train_Accuracy,Train_Balanced_Accuracy,Train_Precision,Train_Recall,Train_F1,Dev_Loss,Dev_Accuracy,Dev_Balanced_Accuracy,Dev_Precision,Dev_Recall,Dev_F1,Epoch_Time_Seconds
1,0.0003,0.7701659753918648,0.775,0.5165714285714286,0.4,0.05714285714285714,0.1,0.7442175074057146,0.7818181818181819,0.5,0.0,0.0,0.0,2.671112537384033
2,0.0003,0.7174894645810127,0.775,0.5062857142857142,0.3333333333333333,0.02857142857142857,0.05263157894736842,0.7325008500706066,0.7818181818181819,0.5,0.0,0.0,0.0,1.905324935913086
3,0.0003,0.7193826466798783,0.76875,0.5022857142857142,0.25,0.02857142857142857,0.05128205128205128,0.6902150468392806,0.8,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,1.9161713123321533
4,0.0003,0.7277639873325825,0.75625,0.5251428571428571,0.3333333333333333,0.11428571428571428,0.1702127659574468,0.6949592514471574,0.8,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,1.9212911128997803
5,0.0003,0.7264670632779598,0.7625,0.5394285714285715,0.38461538461538464,0.14285714285714285,0.20833333333333334,0.6931053703481501,0.8,0.5416666666666666,1.0,0.08333333333333333,0.15384615384615385,1.956223726272583
6,0.0003,0.7093349181115627,0.75625,0.5354285714285715,0.35714285714285715,0.14285714285714285,0.20408163265306123,0.6628556229851462,0.8,0.5717054263565892,0.6666666666666666,0.16666666666666666,0.26666666666666666,1.9151456356048584
7,0.0003,0.722559318691492,0.7375,0.5028571428571429,0.23076923076923078,0.08571428571428572,0.125,0.6652923540635542,0.7818181818181819,0.5300387596899224,0.5,0.08333333333333333,0.14285714285714285,1.9570696353912354
8,0.0003,0.6626089230179787,0.8,0.5737142857142857,0.6666666666666666,0.17142857142857143,0.2727272727272727,0.6481209148060192,0.7818181818181819,0.5901162790697674,0.5,0.25,0.3333333333333333,1.944366693496704
9,0.0003,0.6290479883551597,0.775,0.6091428571428572,0.4782608695652174,0.3142857142857143,0.3793103448275862,0.638007827238603,0.7636363636363637,0.5784883720930232,0.42857142857142855,0.25,0.3157894736842105,1.9227252006530762
10,0.0003,0.6848638016730547,0.7375,0.5234285714285715,0.29411764705882354,0.14285714285714285,0.19230769230769232,0.6429508024995977,0.8,0.6017441860465116,0.6,0.25,0.35294117647058826,1.9478466510772705
11,0.0003,0.6726817913353443,0.7,0.5714285714285714,0.32432432432432434,0.34285714285714286,0.3333333333333333,0.6224962971427224,0.7454545454545455,0.5968992248062015,0.4,0.3333333333333333,0.36363636363636365,1.971067190170288
12,0.0003,0.6789132885634899,0.76875,0.5845714285714285,0.45,0.2571428571428571,0.32727272727272727,0.6600301655856046,0.7818181818181819,0.5901162790697674,0.5,0.25,0.3333333333333333,1.8670547008514404
13,0.0003,0.673041170835495,0.79375,0.6108571428571429,0.5555555555555556,0.2857142857142857,0.37735849056603776,0.6409879435192455,0.7636363636363637,0.5784883720930232,0.42857142857142855,0.25,0.3157894736842105,1.8640022277832031
14,0.0003,0.6210245952010155,0.80625,0.6805714285714286,0.5714285714285714,0.45714285714285713,0.5079365079365079,0.6360811883752996,0.7818181818181819,0.5901162790697674,0.5,0.25,0.3333333333333333,1.8209409713745117
15,0.00015,0.6435404300689698,0.78125,0.6234285714285714,0.5,0.34285714285714286,0.4067796610169492,0.6437981432134455,0.7818181818181819,0.5901162790697674,0.5,0.25,0.3333333333333333,1.83595871925354
16,0.00015,0.6047640219330788,0.8125,0.6742857142857143,0.6,0.42857142857142855,0.5,0.6462953773411837,0.7818181818181819,0.5901162790697674,0.5,0.25,0.3333333333333333,1.8296070098876953
17,0.00015,0.6077709276229143,0.8125,0.6845714285714286,0.5925925925925926,0.45714285714285713,0.5161290322580645,0.649113434011286,0.7818181818181819,0.5901162790697674,0.5,0.25,0.3333333333333333,1.8638901710510254
18,7.5e-05,0.6497494950890541,0.78125,0.6337142857142857,0.5,0.37142857142857144,0.4262295081967213,0.6564940886064009,0.7818181818181819,0.5901162790697674,0.5,0.25,0.3333333333333333,1.9838988780975342
19,7.5e-05,0.5982166886329651,0.79375,0.652,0.5384615384615384,0.4,0.45901639344262296,0.647590032490817,0.7818181818181819,0.5901162790697674,0.5,0.25,0.3333333333333333,1.9531455039978027
