Threshold,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Predicted_Control,Predicted_Depression
0.05,0.2545454545454545,0.5232558139534884,0.22641509433962265,1.0,0.36923076923076925,2,53
0.060000000000000005,0.2727272727272727,0.5348837209302325,0.23076923076923078,1.0,0.375,3,52
0.07,0.2727272727272727,0.5348837209302325,0.23076923076923078,1.0,0.375,3,52
0.08000000000000002,0.3090909090909091,0.5581395348837209,0.24,1.0,0.3870967741935484,5,50
0.09000000000000001,0.32727272727272727,0.5697674418604651,0.24489795918367346,1.0,0.39344262295081966,6,49
0.1,0.36363636363636365,0.5930232558139534,0.2553191489361702,1.0,0.4067796610169492,8,47
0.11000000000000001,0.38181818181818183,0.6046511627906976,0.2608695652173913,1.0,0.41379310344827586,9,46
0.12000000000000001,0.38181818181818183,0.6046511627906976,0.2608695652173913,1.0,0.41379310344827586,9,46
0.13,0.38181818181818183,0.6046511627906976,0.2608695652173913,1.0,0.41379310344827586,9,46
0.14,0.36363636363636365,0.562984496124031,0.24444444444444444,0.9166666666666666,0.38596491228070173,10,45
0.15000000000000002,0.4,0.5862403100775193,0.2558139534883721,0.9166666666666666,0.4,12,43
0.16000000000000003,0.41818181818181815,0.5978682170542635,0.2619047619047619,0.9166666666666666,0.4074074074074074,13,42
0.17000000000000004,0.43636363636363634,0.6094961240310077,0.2682926829268293,0.9166666666666666,0.41509433962264153,14,41
0.18000000000000005,0.43636363636363634,0.6094961240310077,0.2682926829268293,0.9166666666666666,0.41509433962264153,14,41
0.19,0.43636363636363634,0.6094961240310077,0.2682926829268293,0.9166666666666666,0.41509433962264153,14,41
0.2,0.4727272727272727,0.6327519379844961,0.28205128205128205,0.9166666666666666,0.43137254901960786,16,39
0.21000000000000002,0.4727272727272727,0.6327519379844961,0.28205128205128205,0.9166666666666666,0.43137254901960786,16,39
0.22000000000000003,0.4909090909090909,0.6143410852713178,0.2777777777777778,0.8333333333333334,0.4166666666666667,19,36
0.23000000000000004,0.4909090909090909,0.6143410852713178,0.2777777777777778,0.8333333333333334,0.4166666666666667,19,36
0.24000000000000005,0.4909090909090909,0.6143410852713178,0.2777777777777778,0.8333333333333334,0.4166666666666667,19,36
0.25000000000000006,0.5272727272727272,0.6375968992248062,0.29411764705882354,0.8333333333333334,0.43478260869565216,21,34
0.26000000000000006,0.5636363636363636,0.6608527131782946,0.3125,0.8333333333333334,0.45454545454545453,23,32
0.27,0.5636363636363636,0.6608527131782946,0.3125,0.8333333333333334,0.45454545454545453,23,32
0.28,0.5818181818181818,0.6724806201550388,0.3225806451612903,0.8333333333333334,0.46511627906976744,24,31
0.29000000000000004,0.5818181818181818,0.6424418604651163,0.3103448275862069,0.75,0.43902439024390244,26,29
0.30000000000000004,0.6,0.6540697674418605,0.32142857142857145,0.75,0.45,27,28
0.31000000000000005,0.6181818181818182,0.6656976744186047,0.3333333333333333,0.75,0.46153846153846156,28,27
0.32000000000000006,0.6181818181818182,0.6656976744186047,0.3333333333333333,0.75,0.46153846153846156,28,27
0.33,0.6181818181818182,0.6656976744186047,0.3333333333333333,0.75,0.46153846153846156,28,27
0.34,0.6181818181818182,0.6656976744186047,0.3333333333333333,0.75,0.46153846153846156,28,27
0.35000000000000003,0.6181818181818182,0.6656976744186047,0.3333333333333333,0.75,0.46153846153846156,28,27
0.36000000000000004,0.6181818181818182,0.6656976744186047,0.3333333333333333,0.75,0.46153846153846156,28,27
0.37000000000000005,0.6181818181818182,0.6656976744186047,0.3333333333333333,0.75,0.46153846153846156,28,27
0.38000000000000006,0.6,0.624031007751938,0.3076923076923077,0.6666666666666666,0.42105263157894735,29,26
0.39000000000000007,0.5818181818181818,0.5823643410852714,0.28,0.5833333333333334,0.3783783783783784,30,25
0.4000000000000001,0.5818181818181818,0.5823643410852714,0.28,0.5833333333333334,0.3783783783783784,30,25
0.4100000000000001,0.6,0.5939922480620154,0.2916666666666667,0.5833333333333334,0.3888888888888889,31,24
0.42000000000000004,0.6,0.5939922480620154,0.2916666666666667,0.5833333333333334,0.3888888888888889,31,24
0.43000000000000005,0.6,0.5939922480620154,0.2916666666666667,0.5833333333333334,0.3888888888888889,31,24
0.44000000000000006,0.6363636363636364,0.6172480620155039,0.3181818181818182,0.5833333333333334,0.4117647058823529,33,22
0.45000000000000007,0.6363636363636364,0.6172480620155039,0.3181818181818182,0.5833333333333334,0.4117647058823529,33,22
0.4600000000000001,0.6363636363636364,0.6172480620155039,0.3181818181818182,0.5833333333333334,0.4117647058823529,33,22
0.4700000000000001,0.6363636363636364,0.5872093023255813,0.3,0.5,0.375,35,20
0.4800000000000001,0.6545454545454545,0.5988372093023255,0.3157894736842105,0.5,0.3870967741935484,36,19
0.49000000000000005,0.6363636363636364,0.5571705426356589,0.2777777777777778,0.4166666666666667,0.3333333333333333,37,18
0.5000000000000001,0.6545454545454545,0.5687984496124031,0.29411764705882354,0.4166666666666667,0.3448275862068966,38,17
0.5100000000000001,0.6363636363636364,0.5271317829457364,0.25,0.3333333333333333,0.2857142857142857,39,16
0.5200000000000001,0.6363636363636364,0.5271317829457364,0.25,0.3333333333333333,0.2857142857142857,39,16
0.5300000000000001,0.6545454545454545,0.5387596899224806,0.26666666666666666,0.3333333333333333,0.2962962962962963,40,15
0.5400000000000001,0.6727272727272727,0.5503875968992248,0.2857142857142857,0.3333333333333333,0.3076923076923077,41,14
0.5500000000000002,0.6727272727272727,0.5203488372093024,0.25,0.25,0.25,43,12
0.5600000000000002,0.6909090909090909,0.5319767441860466,0.2727272727272727,0.25,0.2608695652173913,44,11
0.5700000000000002,0.7090909090909091,0.5436046511627908,0.3,0.25,0.2727272727272727,45,10
0.5800000000000002,0.7090909090909091,0.5436046511627908,0.3,0.25,0.2727272727272727,45,10
0.5900000000000002,0.7090909090909091,0.5436046511627908,0.3,0.25,0.2727272727272727,45,10
0.6000000000000002,0.7090909090909091,0.5436046511627908,0.3,0.25,0.2727272727272727,45,10
0.6100000000000001,0.7090909090909091,0.5135658914728682,0.25,0.16666666666666666,0.2,47,8
0.6200000000000001,0.7090909090909091,0.5135658914728682,0.25,0.16666666666666666,0.2,47,8
0.6300000000000001,0.7090909090909091,0.5135658914728682,0.25,0.16666666666666666,0.2,47,8
0.6400000000000001,0.7090909090909091,0.5135658914728682,0.25,0.16666666666666666,0.2,47,8
0.6500000000000001,0.7090909090909091,0.5135658914728682,0.25,0.16666666666666666,0.2,47,8
0.6600000000000001,0.7090909090909091,0.5135658914728682,0.25,0.16666666666666666,0.2,47,8
0.6700000000000002,0.7090909090909091,0.5135658914728682,0.25,0.16666666666666666,0.2,47,8
0.6800000000000002,0.7090909090909091,0.5135658914728682,0.25,0.16666666666666666,0.2,47,8
0.6900000000000002,0.7272727272727273,0.5251937984496124,0.2857142857142857,0.16666666666666666,0.21052631578947367,48,7
0.7000000000000002,0.7636363636363637,0.5484496124031008,0.4,0.16666666666666666,0.23529411764705882,50,5
0.7100000000000002,0.7454545454545455,0.5067829457364341,0.25,0.08333333333333333,0.125,51,4
0.7200000000000002,0.7454545454545455,0.5067829457364341,0.25,0.08333333333333333,0.125,51,4
0.7300000000000002,0.7454545454545455,0.5067829457364341,0.25,0.08333333333333333,0.125,51,4
0.7400000000000002,0.7636363636363637,0.5184108527131783,0.3333333333333333,0.08333333333333333,0.13333333333333333,52,3
0.7500000000000002,0.7818181818181819,0.5300387596899224,0.5,0.08333333333333333,0.14285714285714285,53,2
0.7600000000000002,0.7636363636363637,0.4883720930232558,0.0,0.0,0.0,54,1
0.7700000000000002,0.7636363636363637,0.4883720930232558,0.0,0.0,0.0,54,1
0.7800000000000001,0.7818181818181819,0.5,0.0,0.0,0.0,55,0
0.7900000000000001,0.7818181818181819,0.5,0.0,0.0,0.0,55,0
0.8000000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,55,0
0.8100000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,55,0
0.8200000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,55,0
0.8300000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,55,0
0.8400000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,55,0
0.8500000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,55,0
0.8600000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,55,0
0.8700000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,55,0
0.8800000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,55,0
0.8900000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,55,0
0.9000000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,55,0
0.9100000000000003,0.7818181818181819,0.5,0.0,0.0,0.0,55,0
0.9200000000000003,0.7818181818181819,0.5,0.0,0.0,0.0,55,0
0.9300000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,55,0
0.9400000000000002,0.7818181818181819,0.5,0.0,0.0,0.0,55,0
