Epoch,Learning_Rate,Train_Loss,Train_Accuracy,Train_Balanced_Accuracy,Train_Precision,Train_Recall,Train_F1,Dev_Loss,Dev_Window_Accuracy,Dev_Window_Balanced_Accuracy,Dev_Window_Precision,Dev_Window_Recall,Dev_Window_F1,Dev_Participant_Accuracy,Dev_Participant_Balanced_Accuracy,Dev_Participant_Precision,Dev_Participant_Recall,Dev_Participant_F1,Epoch_Time_Seconds
1,0.001,0.5782439361510466,0.6606774668630339,0.6716020247622956,0.3552392911957583,0.6909090909090909,0.4692222631772945,0.7982700319901056,0.5923487544483986,0.5512494925436239,0.28745487364620936,0.47220163083765754,0.3573632538569425,0.6545454545454545,0.5687984496124031,0.29411764705882354,0.4166666666666667,0.3448275862068966,184.18192672729492
2,0.001,0.3885372843166514,0.8140795287187039,0.8280159330578791,0.5459600347523892,0.8526458616010855,0.6656779661016949,0.9417727413975047,0.6485765124555161,0.535752872606624,0.28936742934051146,0.31875463306152707,0.30335097001763667,0.6727272727272727,0.5203488372093024,0.25,0.25,0.25,42.02713108062744
3,0.001,0.31443315512916303,0.8695139911634757,0.8739112257305715,0.64618138424821,0.8816824966078698,0.7457821645816596,1.1443942941221479,0.6734875444839857,0.5255169633185625,0.2860915492957746,0.24091919940696813,0.26156941649899396,0.7272727272727273,0.5251937984496124,0.2857142857142857,0.16666666666666666,0.21052631578947367,43.001670837402344
4,0.001,0.26984362353105784,0.9079823269513991,0.9031855906186286,0.7374189219414001,0.894708276797829,0.808484551250613,1.167114187633864,0.6569395017793594,0.5184332281133349,0.27005559968228754,0.2520385470719051,0.2607361963190184,0.7272727272727273,0.5552325581395349,0.3333333333333333,0.25,0.2857142857142857,42.9535174369812
5,0.0005,0.19486150693208726,0.9337849779086892,0.929666565591905,0.8022185508614585,0.9223880597014925,0.858116637212825,0.9661054740756008,0.6772241992882563,0.5127608247669606,0.2663316582914573,0.19644180874722017,0.22610921501706485,0.7636363636363637,0.5484496124031008,0.4,0.16666666666666666,0.23529411764705882,49.40445137023926
6,0.0005,0.14241949097529075,0.9519293078055965,0.9504721416516841,0.8484333252368229,0.9478968792401629,0.8954114329659062,1.287497500778968,0.698220640569395,0.4971600667108791,0.2310077519379845,0.11045218680504076,0.14944834503510532,0.7454545454545455,0.47674418604651164,0.0,0.0,0.0,51.61850643157959
7,0.0005,0.1122734711482704,0.9665979381443299,0.9635664791168312,0.8952839756592292,0.9582089552238806,0.9256783326779394,1.3241297887817185,0.6980427046263346,0.5137790352262809,0.2763496143958869,0.15937731653076354,0.20216267042783262,0.7636363636363637,0.5184108527131783,0.3333333333333333,0.08333333333333333,0.13333333333333333,61.29325461387634
8,0.00025,0.08521787364765541,0.9732547864506628,0.9716422504755109,0.9132770529547198,0.9687924016282226,0.9402159599683961,1.453488081042055,0.6909252669039145,0.5169571570571192,0.27954545454545454,0.18235730170496664,0.22072678331090176,0.7636363636363637,0.5484496124031008,0.4,0.16666666666666666,0.23529411764705882,51.77991080284119
